league,date,home_team,away_team,bookie,market,bet,odds
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,888sport,h2h,home wins,5.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,888sport,h2h,draw,4.33
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Paddy Power,h2h,away wins,1.53
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Paddy Power,h2h,home wins,5.0
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Paddy Power,h2h,draw,4.33
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Betfair,h2h,away wins,1.61
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Betfair,h2h,home wins,5.9
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Betfair,h2h,draw,4.7
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,William Hill,h2h,away wins,1.53
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,William Hill,h2h,home wins,5.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,William Hill,h2h,draw,4.33
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Sky Bet,h2h,away wins,1.55
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Sky Bet,h2h,home wins,5.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Sky Bet,h2h,draw,4.33
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,LiveScore Bet,h2h,away wins,1.53
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,LiveScore Bet,h2h,home wins,5.25
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,LiveScore Bet,h2h,draw,4.33
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Virgin Bet,h2h,away wins,1.53
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Virgin Bet,h2h,home wins,5.25
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Virgin Bet,h2h,draw,4.33
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Ladbrokes,h2h,away wins,1.57
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Ladbrokes,h2h,home wins,5.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Ladbrokes,h2h,draw,4.2
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Coral,h2h,away wins,1.57
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Coral,h2h,home wins,5.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Coral,h2h,draw,4.2
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Bet Victor,h2h,away wins,1.53
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Bet Victor,h2h,home wins,5.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Bet Victor,h2h,draw,4.1
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,LeoVegas,h2h,away wins,1.51
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,LeoVegas,h2h,home wins,5.75
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,LeoVegas,h2h,draw,4.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Grosvenor,h2h,away wins,1.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Grosvenor,h2h,home wins,5.6
